ResponseID,age,gender,whereareyoufrom,timelisteningtomusic,genderrep,idealgenderrep,menrep,womenrep,lyrics,misogynistlyrics,feministlyrics,genderrepimportant,politicallyrics,condition,Q1,Q2,Q3,Q4,Q5,Q6,Q7,The_man,Roar,NotReady_TMN,Strongeer,YouDont_om,Ladies_first,GoodOl_BC,KeepYa_HU,Grown_woman,Venom,TheLucky_one,LastFriday_night,WideOpen_spaces,Work_bitch,ThePartys_over,Detrim_stable,Rainbow,Ghetto_gospel,Schoolin_life,Introvert
R_1hQYRIA6VttPmM0,2,Male,1,3,2,7,1,5,3,5,1,4,1,Feminist Condition,4.8,5.2,4.8,4.4,6.2,7,4,3.428571429,NA,NA,3.571428571,4.857142857,NA,NA,4.714285714,5.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_z0xWF84I0SJQ0oN,2,Female,1,2,3,7,2,2,6,3,6,4,5,Feminist Condition,5.2,4.8,3.6,5,5.2,2.4,4.6,4.142857143,NA,3,NA,4.428571429,NA,NA,5.571428571,NA,4.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2cAWLZvs7jZo5TQ,2,Male,1,2,1,7,2,6,6,6,2,6,6,Feminist Condition,5.8,6,6,4.4,5.8,1.8,6.4,4.857142857,4.428571429,NA,NA,6,NA,5.142857143,5.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_24q4YVUBvMAzLul,2,Female,1,2,1,7,2,5,3,7,6,7,2,Neutral Condition,4.6,4.6,3.8,3.6,4.2,1.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.142857143,3.285714286,NA,3.285714286,NA,4,4,NA
R_1gGbnAyc0hpbofx,2,Female,1,2,2,7,2,4,3,7,2,6,5,Feminist Condition,5.4,4.8,4.4,4.6,5.8,1.6,3.8,NA,3.714285714,NA,3.857142857,NA,NA,3.857142857,5.428571429,4.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2hkwku90fK8MvJf,2,Female,1,2,5,7,1,7,3,7,5,7,2,Feminist Condition,5,4.4,4.4,3.8,5,1.4,5.2,4.142857143,NA,3.857142857,NA,4,4.428571429,NA,NA,NA,4.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_rdQzU2KEmLzmxEt,2,Male,1,2,3,6,1,7,6,7,1,7,7,Feminist Condition,6.6,6.2,5.8,5.4,6.6,1.2,6.8,NA,NA,6.142857143,5.428571429,NA,4.857142857,NA,NA,5.571428571,5.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1hKlQvUfnxe3SJh,2,Female,1,3,5,6,5,5,6,5,5,5,3,Neutral Condition,5.4,4.4,4,3.8,4.6,2.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.571428571,3.571428571,2.571428571,NA,NA,NA,NA,4.285714286,4.714285714,NA
R_25M9FZ53JmePsjz,2,Female,1,3,3,7,1,4,7,6,2,5,6,Feminist Condition,6.4,5.4,5.8,5.8,5.6,2.4,5.6,5.142857143,NA,5.285714286,NA,NA,NA,5.428571429,NA,5,5.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2czqiyfj4pJSQ4k,2,Female,1,1,4,6,1,1,4,6,2,4,4,Neutral Condition,5.2,4.4,5,3.6,4.2,2.4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4.428571429,4.857142857,2.857142857,4.142857143
R_3OjhF1Jzh6aSzi0,2,Male,1,2,6,6,2,2,6,2,2,2,2,Neutral Condition,6.4,6.4,4,5.2,4.8,7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.714285714,4.142857143,NA,NA,NA,4.714285714,NA,NA,4.142857143,4.285714286
R_1GTGJe2ib4M5Kbk,2,Male,1,4,3,7,1,1,6,3,1,5,6,Feminist Condition,5.8,5.6,5.2,3.6,6,7,4.4,NA,3.428571429,NA,4.857142857,4.714285714,NA,4.714285714,NA,NA,4.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2owT2FBx0E6ZS2B,2,Male,1,3,6,6,2,2,5,4,4,2,5,Neutral Condition,4,4,4,2.8,3.6,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.428571429,3.285714286,3.142857143,NA,2.857142857,3.857142857,NA,NA
R_3JBZmsgeEsdJ4c0,2,Male,1,4,2,7,4,4,5,6,2,5,5,Neutral Condition,1.8,1.2,1.6,1,1.8,4.8,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.714285714,NA,NA,1.857142857,3.428571429,NA,NA,1.428571429,NA,1.857142857
R_3P6MUrj6h0FflEO,2,Male,1,3,5,7,1,2,5,2,2,3,4,Feminist Condition,5.2,5,5.2,2.2,5.2,1.4,5.2,NA,2.857142857,NA,NA,4.142857143,5,NA,NA,4.428571429,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_31uODxMJCPDTScj,2,Female,1,2,2,1,1,5,6,6,5,4,6,Feminist Condition,5.6,5.6,4.8,5.4,5.4,1.2,5.2,NA,4,NA,4.285714286,4.857142857,4.571428571,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Q9P04YUtzZGdGwN,2,Female,1,3,2,7,2,2,5,5,2,4,7,Feminist Condition,4.8,4,4,4,5,2.4,4.6,NA,4.142857143,NA,3.142857143,4.571428571,NA,4,NA,4.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_12sTpvCp4AKolyo,2,Male,1,2,6,6,4,4,5,1,4,1,5,Feminist Condition,4.6,3.4,4,3.6,4,3.6,3.2,NA,4.142857143,NA,NA,4.428571429,NA,3.714285714,3.285714286,3.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8czEsqGzMPWvbep,2,Male,1,3,3,6,4,4,5,5,3,4,3,Neutral Condition,4.8,4.8,4.6,3.8,4.4,6,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.857142857,NA,4.571428571,3,NA,NA,NA,NA,3.714285714,3.571428571
